f_attemps,f_ishometeam,f_Corners,f_Offsides,f_Ball_Posession,f_Yellow_cards,f_Red_cards,f_Fouls_suffered,f_passes_attemted,f_passes_completed,f_pass_completion_rate,f_diameter,f_largest_cliques,f_countmax_cliques,f_reciprocity,f_global_clustering,f_diversity,f_hubs,f_authorities,f_pagerank_max,f_pagerank_mean,f_pagerank_median,f_assortativity,f_AverageNeighborhood,f_degree_centralization,f_betweenness_centralization,f_closeness_centralization,s_attemps,s_ishometeam,s_Corners,s_Offsides,s_Ball_Posession,s_Yellow_cards,s_Red_cards,s_Fouls_suffered,s_passes_attemted,s_passes_completed,s_pass_completion_rate,s_diameter,s_largest_cliques,s_countmax_cliques,s_reciprocity,s_global_clustering,s_diversity,s_hubs,s_authorities,s_pagerank_max,s_pagerank_mean,s_pagerank_median,s_assortativity,s_AverageNeighborhood,s_degree_centralization,s_betweenness_centralization,s_closeness_centralization,label
29,1,9,2,0.66,0,0,13,596,486,0.82,5,8,3,0.8333333333333334,0.7901023890784983,1.7206779095097793,0.11019573246064972,0.1313835643831488,0.14768531994796716,0.09090909090909095,0.10181578292362588,-0.19492780726555747,7.84404761904762,16.800000000000004,0.28888888888888886,9.044413919413918,2,0,0,1,0.34,2,0,8,197,105,0.53,13,5,1,0.5660377358490566,0.48660714285714285,1.530605242058942,0.1282385334560343,0.11351952740333432,0.15992400501485016,0.0909090909090909,0.08652085681606506,-0.12927931823120317,4.609090909090909,10.600000000000001,0.8111111111111111,6.977153593532904,1
2,0,0,1,0.34,2,0,8,197,105,0.53,13,5,1,0.5660377358490566,0.48660714285714285,1.530605242058942,0.1282385334560343,0.11351952740333432,0.15992400501485016,0.0909090909090909,0.08652085681606506,-0.12927931823120317,4.609090909090909,10.600000000000001,0.8111111111111111,6.977153593532904,29,1,9,2,0.66,0,0,13,596,486,0.82,5,8,3,0.8333333333333334,0.7901023890784983,1.7206779095097793,0.11019573246064972,0.1313835643831488,0.14768531994796716,0.09090909090909095,0.10181578292362588,-0.19492780726555747,7.84404761904762,16.800000000000004,0.28888888888888886,9.044413919413918,0
11,1,5,1,0.42,3,1,11,295,227,0.77,6,7,2,0.7671232876712328,0.6782608695652174,1.6533036803630117,0.11677560932847719,0.12079467231928664,0.16747371889605148,0.09090909090909093,0.09612130715029765,-0.24414911576284248,6.883152958152959,14.600000000000001,0.4111111111111111,8.328828034710389,14,0,5,0,0.58,3,0,10,516,443,0.86,5,10,1,0.8275862068965517,0.8238993710691824,1.9424888576468793,0.13561438606617482,0.14624760572496875,0.14285239459632224,0.0909090909090909,0.08690800433377725,-0.25117478057443227,8.080699855699855,17.4,0.2555555555555556,9.285214785214785,1
14,0,5,0,0.58,3,0,10,516,443,0.86,5,10,1,0.8275862068965517,0.8238993710691824,1.9424888576468793,0.13561438606617482,0.14624760572496875,0.14285239459632224,0.0909090909090909,0.08690800433377725,-0.25117478057443227,8.080699855699855,17.4,0.2555555555555556,9.285214785214785,11,1,5,1,0.42,3,1,11,295,227,0.77,6,7,2,0.7671232876712328,0.6782608695652174,1.6533036803630117,0.11677560932847719,0.12079467231928664,0.16747371889605148,0.09090909090909093,0.09612130715029765,-0.24414911576284248,6.883152958152959,14.600000000000001,0.4111111111111111,8.328828034710389,0
17,1,5,1,0.43,2,0,13,390,301,0.77,5,7,6,0.8354430379746836,0.7423664122137404,1.8989267893363289,0.10997929981779472,0.11265773201532732,0.14397915063449568,0.09090909090909091,0.09707767501055307,-0.1680072679785667,7.359956709956711,15.799999999999999,0.3444444444444444,8.718438424320778,4,0,1,1,0.57,1,0,18,535,443,0.83,5,10,1,0.8571428571428571,0.8418803418803419,1.8886318494864496,0.11490354586210183,0.11771282469884944,0.14215066901418694,0.09090909090909091,0.09924056933242183,-0.24255584537127833,8.433477633477633,18.2,0.21111111111111108,9.515984015984015,1
4,0,1,1,0.57,1,0,18,535,443,0.83,5,10,1,0.8571428571428571,0.8418803418803419,1.8886318494864496,0.11490354586210183,0.11771282469884944,0.14215066901418694,0.09090909090909091,0.09924056933242183,-0.24255584537127833,8.433477633477633,18.2,0.21111111111111108,9.515984015984015,17,1,5,1,0.43,2,0,13,390,301,0.77,5,7,6,0.8354430379746836,0.7423664122137404,1.8989267893363289,0.10997929981779472,0.11265773201532732,0.14397915063449568,0.09090909090909091,0.09707767501055307,-0.1680072679785667,7.359956709956711,15.799999999999999,0.3444444444444444,8.718438424320778,0
20,1,6,0,0.42,0,0,12,272,203,0.75,5,9,1,0.6486486486486487,0.7092511013215859,1.710493230055004,0.11155175195210384,0.10895120245624364,0.14937802508709078,0.09090909090909091,0.0912440648690212,-0.1991806875505758,6.71590909090909,14.8,0.39999999999999997,8.495421245421246,10,0,4,0,0.58,1,0,11,466,376,0.81,5,8,3,0.8641975308641975,0.8017857142857143,1.8238733159854374,0.1103038518669984,0.11544505972113837,0.12036905102242687,0.09090909090909093,0.10143792091760971,-0.26002283767678935,7.839538239538239,16.2,0.32222222222222224,8.950831031713385,1
10,0,4,0,0.58,1,0,11,466,376,0.81,5,8,3,0.8641975308641975,0.8017857142857143,1.8238733159854374,0.1103038518669984,0.11544505972113837,0.12036905102242687,0.09090909090909093,0.10143792091760971,-0.26002283767678935,7.839538239538239,16.2,0.32222222222222224,8.950831031713385,20,1,6,0,0.42,0,0,12,272,203,0.75,5,9,1,0.6486486486486487,0.7092511013215859,1.710493230055004,0.11155175195210384,0.10895120245624364,0.14937802508709078,0.09090909090909091,0.0912440648690212,-0.1991806875505758,6.71590909090909,14.8,0.39999999999999997,8.495421245421246,0
16,1,8,3,0.44,0,0,5,516,428,0.83,5,7,5,0.8461538461538461,0.73,1.732552088116943,0.11488107090255173,0.10752087076417995,0.1575120676927913,0.09090909090909091,0.08392910512463252,-0.24477546501438252,7.403896103896103,15.6,0.35555555555555557,8.654512154512155,6,0,3,4,0.56,2,0,18,599,536,0.89,5,8,2,0.896551724137931,0.8089171974522293,1.7946534830291643,0.1211634968084522,0.12883488859648717,0.1358169484536585,0.09090909090909091,0.09747612894697366,-0.2352434783954964,8.177777777777779,17.4,0.2555555555555556,9.225940725940728,0
6,0,3,4,0.56,2,0,18,599,536,0.89,5,8,2,0.896551724137931,0.8089171974522293,1.7946534830291643,0.1211634968084522,0.12883488859648717,0.1358169484536585,0.09090909090909091,0.09747612894697366,-0.2352434783954964,8.177777777777779,17.4,0.2555555555555556,9.225940725940728,16,1,8,3,0.44,0,0,5,516,428,0.83,5,7,5,0.8461538461538461,0.73,1.732552088116943,0.11488107090255173,0.10752087076417995,0.1575120676927913,0.09090909090909091,0.08392910512463252,-0.24477546501438252,7.403896103896103,15.6,0.35555555555555557,8.654512154512155,1
10,1,3,2,0.43,6,0,8,384,303,0.79,6,9,1,0.7901234567901234,0.7269372693726938,1.7888538995136085,0.10662111197814947,0.10388755158927819,0.11825448282686953,0.09090909090909091,0.0922580179719165,-0.05284571028727909,7.286327561327561,16.2,0.3222222222222223,8.814518814518815,11,0,4,8,0.57,2,0,15,594,498,0.84,5,9,2,0.9130434782608695,0.8481375358166189,2.002883041090651,0.10292976512566052,0.09799500355652727,0.1353813253577678,0.09090909090909091,0.08955767007941436,-0.19278869679295194,8.547871572871573,18.4,0.20000000000000004,9.555777555777556,1
11,0,4,8,0.57,2,0,15,594,498,0.84,5,9,2,0.9130434782608695,0.8481375358166189,2.002883041090651,0.10292976512566052,0.09799500355652727,0.1353813253577678,0.09090909090909091,0.08955767007941436,-0.19278869679295194,8.547871572871573,18.4,0.20000000000000004,9.555777555777556,10,1,3,2,0.43,6,0,8,384,303,0.79,6,9,1,0.7901234567901234,0.7269372693726938,1.7888538995136085,0.10662111197814947,0.10388755158927819,0.11825448282686953,0.09090909090909091,0.0922580179719165,-0.05284571028727909,7.286327561327561,16.2,0.3222222222222223,8.814518814518815,0
