f_attemps,f_ishometeam,f_Corners,f_Offsides,f_Ball_Posession,f_Yellow_cards,f_Red_cards,f_Fouls_suffered,f_passes_attemted,f_passes_completed,f_pass_completion_rate,f_diameter,f_largest_cliques,f_countmax_cliques,f_reciprocity,f_global_clustering,f_diversity,f_hubs,f_authorities,f_pagerank_max,f_pagerank_mean,f_pagerank_median,f_assortativity,f_AverageNeighborhood,f_degree_centralization,f_betweenness_centralization,f_closeness_centralization,s_attemps,s_ishometeam,s_Corners,s_Offsides,s_Ball_Posession,s_Yellow_cards,s_Red_cards,s_Fouls_suffered,s_passes_attemted,s_passes_completed,s_pass_completion_rate,s_diameter,s_largest_cliques,s_countmax_cliques,s_reciprocity,s_global_clustering,s_diversity,s_hubs,s_authorities,s_pagerank_max,s_pagerank_mean,s_pagerank_median,s_assortativity,s_AverageNeighborhood,s_degree_centralization,s_betweenness_centralization,s_closeness_centralization,label
14,1,3,2,0.39,2,0,8,476,411,0.86,5,9,2,0.9583333333333334,0.8918205804749341,1.959003932432683,0.11442718917033567,0.11741951728431187,0.1197444890838199,0.09090909090909091,0.1023876706405496,-0.19207213193385955,8.888744588744588,19.200000000000003,0.15555555555555556,9.889110889110889,7,0,8,0,0.61,3,0,10,671,602,0.9,6,10,1,0.8695652173913043,0.8422535211267606,1.922127618721135,0.11456080080682672,0.1319869814873759,0.1499923132618422,0.09090909090909093,0.08523597695754935,-0.18788214337276551,8.526695526695526,18.400000000000002,0.19999999999999998,9.532467532467532,0
7,0,8,0,0.61,3,0,10,671,602,0.9,6,10,1,0.8695652173913043,0.8422535211267606,1.922127618721135,0.11456080080682672,0.1319869814873759,0.1499923132618422,0.09090909090909093,0.08523597695754935,-0.18788214337276551,8.526695526695526,18.400000000000002,0.19999999999999998,9.532467532467532,14,1,3,2,0.39,2,0,8,476,411,0.86,5,9,2,0.9583333333333334,0.8918205804749341,1.959003932432683,0.11442718917033567,0.11741951728431187,0.1197444890838199,0.09090909090909091,0.1023876706405496,-0.19207213193385955,8.888744588744588,19.200000000000003,0.15555555555555556,9.889110889110889,0
15,1,5,2,0.49,2,0,12,526,453,0.86,7,8,4,0.8433734939759037,0.7802768166089965,1.7873950749641798,0.11683471729414532,0.11832971837895392,0.12796079432561883,0.0909090909090909,0.10258762229513277,-0.25955036281736726,7.898340548340548,16.6,0.29999999999999993,8.97431734931735,11,0,4,4,0.51,2,0,11,592,495,0.84,10,9,1,0.8409090909090909,0.7950310559006211,1.8857619001352406,0.09907924626999018,0.10967833476605435,0.17399028257390942,0.09090909090909091,0.08931780522966078,-0.15319138689012518,8.011868686868688,17.599999999999998,0.24444444444444444,9.28088578088578,0
11,0,4,4,0.51,2,0,11,592,495,0.84,10,9,1,0.8409090909090909,0.7950310559006211,1.8857619001352406,0.09907924626999018,0.10967833476605435,0.17399028257390942,0.09090909090909091,0.08931780522966078,-0.15319138689012518,8.011868686868688,17.599999999999998,0.24444444444444444,9.28088578088578,15,1,5,2,0.49,2,0,12,526,453,0.86,7,8,4,0.8433734939759037,0.7802768166089965,1.7873950749641798,0.11683471729414532,0.11832971837895392,0.12796079432561883,0.0909090909090909,0.10258762229513277,-0.25955036281736726,7.898340548340548,16.6,0.29999999999999993,8.97431734931735,1
19,1,10,1,0.55,1,0,12,604,529,0.88,5,9,1,0.9130434782608695,0.8822674418604651,1.8422374992825525,0.1166906147415809,0.12171948572063918,0.1379782319482764,0.0909090909090909,0.09295200076749761,-0.15847007568551835,8.525396825396824,18.4,0.2,9.670454545454545,12,0,1,0,0.45,4,0,7,419,348,0.83,5,7,2,0.8157894736842105,0.7024291497975709,1.5275023899559335,0.10701384395932892,0.11564114330604916,0.14521781120965724,0.09090909090909093,0.08683339473352328,-0.1991858612603855,7.046717171717171,15.2,0.38888888888888895,8.495494701377055,0
12,0,1,0,0.45,4,0,7,419,348,0.83,5,7,2,0.8157894736842105,0.7024291497975709,1.5275023899559335,0.10701384395932892,0.11564114330604916,0.14521781120965724,0.09090909090909093,0.08683339473352328,-0.1991858612603855,7.046717171717171,15.2,0.38888888888888895,8.495494701377055,19,1,10,1,0.55,1,0,12,604,529,0.88,5,9,1,0.9130434782608695,0.8822674418604651,1.8422374992825525,0.1166906147415809,0.12171948572063918,0.1379782319482764,0.0909090909090909,0.09295200076749761,-0.15847007568551835,8.525396825396824,18.4,0.2,9.670454545454545,0
15,1,4,2,0.58,1,0,13,684,584,0.85,6,10,1,0.8958333333333334,0.9036939313984169,1.9307153612288628,0.10624215874873602,0.1075093715136679,0.1190222503566307,0.09090909090909091,0.09869525075296633,-0.19524585437061898,8.798015873015872,19.200000000000003,0.15555555555555556,9.928030303030301,14,0,5,4,0.42,1,0,9,427,330,0.77,4,7,2,0.8641975308641975,0.7277777777777777,1.721677914858719,0.11156279521938375,0.11107745764274075,0.1368516419423264,0.09090909090909093,0.09138824084459506,-0.14631217104360109,7.422655122655123,16.200000000000003,0.3222222222222222,8.755244755244755,1
14,0,5,4,0.42,1,0,9,427,330,0.77,4,7,2,0.8641975308641975,0.7277777777777777,1.721677914858719,0.11156279521938375,0.11107745764274075,0.1368516419423264,0.09090909090909093,0.09138824084459506,-0.14631217104360109,7.422655122655123,16.200000000000003,0.3222222222222222,8.755244755244755,15,1,4,2,0.58,1,0,13,684,584,0.85,6,10,1,0.8958333333333334,0.9036939313984169,1.9307153612288628,0.10624215874873602,0.1075093715136679,0.1190222503566307,0.09090909090909091,0.09869525075296633,-0.19524585437061898,8.798015873015872,19.200000000000003,0.15555555555555556,9.928030303030301,0
22,1,10,0,0.56,2,0,9,635,558,0.88,7,7,2,0.8831168831168831,0.76,1.7301452233686505,0.11396398770140395,0.12856232640906273,0.17658272470240002,0.09090909090909093,0.09624616285676181,-0.21414819830569976,7.423340548340549,15.400000000000002,0.36666666666666664,8.651418026418026,8,0,2,1,0.44,1,0,20,428,358,0.84,8,6,6,0.868421052631579,0.7340425531914894,1.7365949059387766,0.10828445638210953,0.11414002072115406,0.145846776194807,0.09090909090909093,0.08937211721446114,-0.2013535763121075,7.03502886002886,15.200000000000003,0.4,8.516658779816675,0
8,0,2,1,0.44,1,0,20,428,358,0.84,8,6,6,0.868421052631579,0.7340425531914894,1.7365949059387766,0.10828445638210953,0.11414002072115406,0.145846776194807,0.09090909090909093,0.08937211721446114,-0.2013535763121075,7.03502886002886,15.200000000000003,0.4,8.516658779816675,22,1,10,0,0.56,2,0,9,635,558,0.88,7,7,2,0.8831168831168831,0.76,1.7301452233686505,0.11396398770140395,0.12856232640906273,0.17658272470240002,0.09090909090909093,0.09624616285676181,-0.21414819830569976,7.423340548340549,15.400000000000002,0.36666666666666664,8.651418026418026,1
10,1,6,1,0.66,1,0,12,807,666,0.83,6,9,2,0.9166666666666666,0.8882978723404256,1.8651538900436022,0.09864531725691422,0.11383401624114947,0.14187737599572736,0.09090909090909091,0.08836093225887931,-0.1582878788973603,8.8031746031746,19.200000000000003,0.15555555555555559,9.878787878787877,10,0,2,4,0.34,1,0,7,367,261,0.71,4,8,6,0.8275862068965517,0.832258064516129,1.9172155185650603,0.11405790322036899,0.10846091418557122,0.13595531688850235,0.09090909090909093,0.09128207905473597,-0.19806238941416246,7.984379509379509,17.4,0.2555555555555556,9.299024504906857,1
10,0,2,4,0.34,1,0,7,367,261,0.71,4,8,6,0.8275862068965517,0.832258064516129,1.9172155185650603,0.11405790322036899,0.10846091418557122,0.13595531688850235,0.09090909090909093,0.09128207905473597,-0.19806238941416246,7.984379509379509,17.4,0.2555555555555556,9.299024504906857,10,1,6,1,0.66,1,0,12,807,666,0.83,6,9,2,0.9166666666666666,0.8882978723404256,1.8651538900436022,0.09864531725691422,0.11383401624114947,0.14187737599572736,0.09090909090909091,0.08836093225887931,-0.1582878788973603,8.8031746031746,19.200000000000003,0.15555555555555559,9.878787878787877,0
15,1,12,1,0.42,1,0,11,357,258,0.72,5,8,2,0.8674698795180723,0.7517361111111112,1.8301414990194425,0.11300927691755298,0.11980333940339992,0.14187493896354939,0.0909090909090909,0.09118862618078949,-0.1168888194169607,7.59025974025974,16.599999999999998,0.3,8.896936396936399,18,0,7,1,0.58,2,0,6,606,509,0.84,6,9,2,0.8372093023255814,0.7984126984126985,1.828149633965164,0.12034808724891771,0.12571534816512195,0.16180977665640744,0.09090909090909091,0.08319819833730158,-0.18426141283508107,8.001839826839827,17.2,0.26666666666666666,9.146686646686645,0
18,0,7,1,0.58,2,0,6,606,509,0.84,6,9,2,0.8372093023255814,0.7984126984126985,1.828149633965164,0.12034808724891771,0.12571534816512195,0.16180977665640744,0.09090909090909091,0.08319819833730158,-0.18426141283508107,8.001839826839827,17.2,0.26666666666666666,9.146686646686645,15,1,12,1,0.42,1,0,11,357,258,0.72,5,8,2,0.8674698795180723,0.7517361111111112,1.8301414990194425,0.11300927691755298,0.11980333940339992,0.14187493896354939,0.0909090909090909,0.09118862618078949,-0.1168888194169607,7.59025974025974,16.599999999999998,0.3,8.896936396936399,0
