f_attemps,f_ishometeam,f_Corners,f_Offsides,f_Ball_Posession,f_Yellow_cards,f_Red_cards,f_Fouls_suffered,f_passes_attemted,f_passes_completed,f_pass_completion_rate,f_diameter,f_largest_cliques,f_countmax_cliques,f_reciprocity,f_global_clustering,f_diversity,f_hubs,f_authorities,f_pagerank_max,f_pagerank_mean,f_pagerank_median,f_assortativity,f_AverageNeighborhood,f_degree_centralization,f_betweenness_centralization,f_closeness_centralization,s_attemps,s_ishometeam,s_Corners,s_Offsides,s_Ball_Posession,s_Yellow_cards,s_Red_cards,s_Fouls_suffered,s_passes_attemted,s_passes_completed,s_pass_completion_rate,s_diameter,s_largest_cliques,s_countmax_cliques,s_reciprocity,s_global_clustering,s_diversity,s_hubs,s_authorities,s_pagerank_max,s_pagerank_mean,s_pagerank_median,s_assortativity,s_AverageNeighborhood,s_degree_centralization,s_betweenness_centralization,s_closeness_centralization,label
10,1,8,0,0.56,4,0,8,476,376,0.79,4,8,4,0.8095238095238095,0.7704081632653061,1.7328679513998633,0.10700491902968198,0.09636799580865502,0.127866448428663,0.09090909090909091,0.09528391522743068,-0.1499412399026758,7.836147186147187,16.8,0.2888888888888889,8.959207459207459,13,0,3,0,0.44,3,0,22,376,277,0.74,5,6,6,0.7887323943661971,0.6940639269406392,1.7623147108366672,0.1139947892044691,0.11537698321703851,0.13162330879328202,0.09090909090909093,0.09922207410225942,-0.2063624179566513,6.919949494949495,14.200000000000003,0.4333333333333334,8.23937173937174,0
13,0,3,0,0.44,3,0,22,376,277,0.74,5,6,6,0.7887323943661971,0.6940639269406392,1.7623147108366672,0.1139947892044691,0.11537698321703851,0.13162330879328202,0.09090909090909093,0.09922207410225942,-0.2063624179566513,6.919949494949495,14.200000000000003,0.4333333333333334,8.23937173937174,10,1,8,0,0.56,4,0,8,476,376,0.79,4,8,4,0.8095238095238095,0.7704081632653061,1.7328679513998633,0.10700491902968198,0.09636799580865502,0.127866448428663,0.09090909090909091,0.09528391522743068,-0.1499412399026758,7.836147186147187,16.8,0.2888888888888889,8.959207459207459,1
26,1,5,2,0.56,2,0,7,593,543,0.92,8,8,3,0.946236559139785,0.8591549295774648,1.9231417884301067,0.11397008678736115,0.12120276075784375,0.1392002861742272,0.09090909090909091,0.08818464404123005,-0.1667259992892085,8.617171717171717,18.6,0.1888888888888889,9.631535131535133,12,0,5,0,0.44,1,0,12,438,372,0.85,5,8,1,0.825,0.7481203007518797,1.8173369748847679,0.12158743378681217,0.11608310724520318,0.15739299205381474,0.0909090909090909,0.09520939455309212,-0.18375796415712584,7.469733044733044,16.0,0.33333333333333326,8.771686646686648,1
12,0,5,0,0.44,1,0,12,438,372,0.85,5,8,1,0.825,0.7481203007518797,1.8173369748847679,0.12158743378681217,0.11608310724520318,0.15739299205381474,0.0909090909090909,0.09520939455309212,-0.18375796415712584,7.469733044733044,16.0,0.33333333333333326,8.771686646686648,26,1,5,2,0.56,2,0,7,593,543,0.92,8,8,3,0.946236559139785,0.8591549295774648,1.9231417884301067,0.11397008678736115,0.12120276075784375,0.1392002861742272,0.09090909090909091,0.08818464404123005,-0.1667259992892085,8.617171717171717,18.6,0.1888888888888889,9.631535131535133,0
4,1,1,1,0.33,0,0,9,260,170,0.65,6,6,2,0.6451612903225806,0.6073825503355704,1.5465986860485124,0.11194185751621183,0.11737223091089029,0.12340206358575438,0.09090909090909091,0.1023375422614062,-0.08459635252638567,5.833982683982684,12.400000000000002,0.5333333333333333,7.778461734344088,22,0,8,2,0.67,2,0,12,667,589,0.88,7,9,2,0.9333333333333333,0.8495575221238938,1.8458793125447719,0.11624008510850203,0.1225067209615989,0.14875602755704304,0.09090909090909091,0.08782417534258667,-0.15000690382965778,8.462121212121213,18.0,0.22222222222222224,9.439685314685315,0
22,0,8,2,0.67,2,0,12,667,589,0.88,7,9,2,0.9333333333333333,0.8495575221238938,1.8458793125447719,0.11624008510850203,0.1225067209615989,0.14875602755704304,0.09090909090909091,0.08782417534258667,-0.15000690382965778,8.462121212121213,18.0,0.22222222222222224,9.439685314685315,4,1,1,1,0.33,0,0,9,260,170,0.65,6,6,2,0.6451612903225806,0.6073825503355704,1.5465986860485124,0.11194185751621183,0.11737223091089029,0.12340206358575438,0.09090909090909091,0.1023375422614062,-0.08459635252638567,5.833982683982684,12.400000000000002,0.5333333333333333,7.778461734344088,1
10,1,2,4,0.53,1,0,12,531,465,0.88,4,10,1,0.8351648351648352,0.8430232558139535,1.9025372956855024,0.09823527839050042,0.11208550842475662,0.13363916811578466,0.09090909090909093,0.09237778112158183,-0.136654341295652,8.340945165945165,18.200000000000003,0.21111111111111108,9.493006993006992,7,0,5,2,0.47,2,0,11,475,399,0.84,6,7,5,0.810126582278481,0.7443181818181818,1.8095142558492818,0.11117077029051034,0.11963476229004616,0.13386609457319837,0.09090909090909093,0.08828147474675394,-0.2642991467101707,7.471969696969698,15.8,0.34444444444444444,8.722735597735598,1
7,0,5,2,0.47,2,0,11,475,399,0.84,6,7,5,0.810126582278481,0.7443181818181818,1.8095142558492818,0.11117077029051034,0.11963476229004616,0.13386609457319837,0.09090909090909093,0.08828147474675394,-0.2642991467101707,7.471969696969698,15.8,0.34444444444444444,8.722735597735598,10,1,2,4,0.53,1,0,12,531,465,0.88,4,10,1,0.8351648351648352,0.8430232558139535,1.9025372956855024,0.09823527839050042,0.11208550842475662,0.13363916811578466,0.09090909090909093,0.09237778112158183,-0.136654341295652,8.340945165945165,18.200000000000003,0.21111111111111108,9.493006993006992,0
10,1,4,1,0.4,1,0,13,357,298,0.83,4,8,4,0.8470588235294118,0.7866894197952219,1.8128014196539848,0.10807387714495353,0.10431493838911662,0.12279221211072683,0.09090909090909093,0.10086801766874903,-0.19009763035701513,7.869949494949496,17.000000000000004,0.2777777777777778,9.120171495171494,11,0,7,5,0.6,3,0,12,636,563,0.89,7,9,2,0.8817204301075269,0.8473389355742297,1.9447268194242917,0.10064403660466206,0.1166902027658687,0.1469441502098133,0.09090909090909091,0.08573283185175258,-0.14437900667556414,8.461868686868685,18.599999999999998,0.18888888888888888,9.631535131535133,1
11,0,7,5,0.6,3,0,12,636,563,0.89,7,9,2,0.8817204301075269,0.8473389355742297,1.9447268194242917,0.10064403660466206,0.1166902027658687,0.1469441502098133,0.09090909090909091,0.08573283185175258,-0.14437900667556414,8.461868686868685,18.599999999999998,0.18888888888888888,9.631535131535133,10,1,4,1,0.4,1,0,13,357,298,0.83,4,8,4,0.8470588235294118,0.7866894197952219,1.8128014196539848,0.10807387714495353,0.10431493838911662,0.12279221211072683,0.09090909090909093,0.10086801766874903,-0.19009763035701513,7.869949494949496,17.000000000000004,0.2777777777777778,9.120171495171494,0
