f_attemps,f_ishometeam,f_Corners,f_Offsides,f_Ball_Posession,f_Yellow_cards,f_Red_cards,f_Fouls_suffered,f_passes_attemted,f_passes_completed,f_pass_completion_rate,f_diameter,f_largest_cliques,f_countmax_cliques,f_reciprocity,f_global_clustering,f_diversity,f_hubs,f_authorities,f_pagerank_max,f_pagerank_mean,f_pagerank_median,f_assortativity,f_AverageNeighborhood,f_degree_centralization,f_betweenness_centralization,f_closeness_centralization,s_attemps,s_ishometeam,s_Corners,s_Offsides,s_Ball_Posession,s_Yellow_cards,s_Red_cards,s_Fouls_suffered,s_passes_attemted,s_passes_completed,s_pass_completion_rate,s_diameter,s_largest_cliques,s_countmax_cliques,s_reciprocity,s_global_clustering,s_diversity,s_hubs,s_authorities,s_pagerank_max,s_pagerank_mean,s_pagerank_median,s_assortativity,s_AverageNeighborhood,s_degree_centralization,s_betweenness_centralization,s_closeness_centralization,label
10,1,7,2,0.39,3,0,29,263,146,0.56,5,6,3,0.5333333333333333,0.5025125628140703,1.5906292598633986,0.09098365866334021,0.09134329258620835,0.20676842568518433,0.07142857142857142,0.0615795248121786,-0.21534856321746387,5.646258503401362,11.538461538461538,0.7179487179487178,8.097587719298247,12,0,5,1,0.61,3,0,17,434,321,0.74,5,9,4,0.7843137254901961,0.7800511508951407,1.8995749922607728,0.10130113867204364,0.10615870310607042,0.12274048054163404,0.07692307692307693,0.08393896229352384,-0.3034397447466329,8.513564213564216,16.999999999999996,0.4393939393939395,9.8579185520362,0
12,0,5,1,0.61,3,0,17,434,321,0.74,5,9,4,0.7843137254901961,0.7800511508951407,1.8995749922607728,0.10130113867204364,0.10615870310607042,0.12274048054163404,0.07692307692307693,0.08393896229352384,-0.3034397447466329,8.513564213564216,16.999999999999996,0.4393939393939395,9.8579185520362,10,1,7,2,0.39,3,0,29,263,146,0.56,5,6,3,0.5333333333333333,0.5025125628140703,1.5906292598633986,0.09098365866334021,0.09134329258620835,0.20676842568518433,0.07142857142857142,0.0615795248121786,-0.21534856321746387,5.646258503401362,11.538461538461538,0.7179487179487178,8.097587719298247,1
26,1,10,0,0.61,3,0,12,510,428,0.84,4,10,1,0.8571428571428571,0.7558558558558559,2.025002001036466,0.0971809590952962,0.10197123396319506,0.12619731743272414,0.07142857142857141,0.0663858220467081,-0.2113293154668815,9.556763474620618,19.384615384615387,0.37179487179487175,10.849480318443167,12,0,5,1,0.39,1,0,11,276,206,0.75,5,7,1,0.7526881720430108,0.639937106918239,1.878967493188813,0.08761718315459502,0.1015991213645093,0.13889740269425271,0.07692307692307693,0.06650997595286624,-0.26460750913891906,7.588369963369963,15.499999999999998,0.47727272727272724,9.42832533823246,1
12,0,5,1,0.39,1,0,11,276,206,0.75,5,7,1,0.7526881720430108,0.639937106918239,1.878967493188813,0.08761718315459502,0.1015991213645093,0.13889740269425271,0.07692307692307693,0.06650997595286624,-0.26460750913891906,7.588369963369963,15.499999999999998,0.47727272727272724,9.42832533823246,26,1,10,0,0.61,3,0,12,510,428,0.84,4,10,1,0.8571428571428571,0.7558558558558559,2.025002001036466,0.0971809590952962,0.10197123396319506,0.12619731743272414,0.07142857142857141,0.0663858220467081,-0.2113293154668815,9.556763474620618,19.384615384615387,0.37179487179487175,10.849480318443167,1
11,1,8,2,0.36,2,0,14,235,163,0.69,5,7,4,0.6593406593406593,0.6065292096219931,1.7992682090701098,0.08588592383717158,0.08945532831787514,0.12196120031790648,0.07142857142857141,0.07293277843286235,-0.03288361832260888,6.847080498866212,13.999999999999998,0.6538461538461539,9.212745975837576,18,0,8,1,0.64,7,1,8,599,513,0.86,7,9,2,0.8316831683168316,0.7391857506361323,1.8392967479776607,0.08341034375690837,0.11061216666086851,0.16316582882071928,0.07692307692307694,0.07547248567213437,-0.26055924118763985,8.785159285159285,16.833333333333336,0.4242424242424242,9.802845194021664,1
18,0,8,1,0.64,7,1,8,599,513,0.86,7,9,2,0.8316831683168316,0.7391857506361323,1.8392967479776607,0.08341034375690837,0.11061216666086851,0.16316582882071928,0.07692307692307694,0.07547248567213437,-0.26055924118763985,8.785159285159285,16.833333333333336,0.4242424242424242,9.802845194021664,11,1,8,2,0.36,2,0,14,235,163,0.69,5,7,4,0.6593406593406593,0.6065292096219931,1.7992682090701098,0.08588592383717158,0.08945532831787514,0.12196120031790648,0.07142857142857141,0.07293277843286235,-0.03288361832260888,6.847080498866212,13.999999999999998,0.6538461538461539,9.212745975837576,1
15,1,4,4,0.55,4,0,15,420,307,0.73,5,8,1,0.6728971962616822,0.6116751269035533,1.898178603099255,0.09157452506092478,0.10266254346162337,0.10676830889215193,0.07142857142857142,0.07297820649666878,-0.22729882618183517,7.986000309214595,16.46153846153846,0.4871794871794871,9.981003813008456,12,0,3,5,0.45,1,0,16,311,185,0.59,4,7,3,0.5542168674698795,0.5180722891566265,1.5127633969661098,0.1060749203460765,0.09725209462692261,0.1385601328820157,0.07142857142857142,0.05613027528443039,-0.23250060079784518,6.565532879818595,12.769230769230772,0.6730769230769231,9.07822603523068,0
12,0,3,5,0.45,1,0,16,311,185,0.59,4,7,3,0.5542168674698795,0.5180722891566265,1.5127633969661098,0.1060749203460765,0.09725209462692261,0.1385601328820157,0.07142857142857142,0.05613027528443039,-0.23250060079784518,6.565532879818595,12.769230769230772,0.6730769230769231,9.07822603523068,15,1,4,4,0.55,4,0,15,420,307,0.73,5,8,1,0.6728971962616822,0.6116751269035533,1.898178603099255,0.09157452506092478,0.10266254346162337,0.10676830889215193,0.07142857142857142,0.07297820649666878,-0.22729882618183517,7.986000309214595,16.46153846153846,0.4871794871794871,9.981003813008456,1
20,1,7,2,0.54,2,0,8,483,403,0.83,7,9,2,0.7474747474747475,0.7254901960784313,1.819961130674162,0.09375498975655773,0.10347357842818103,0.1358997578479944,0.07142857142857141,0.0785024592378533,-0.014682953851910228,7.831462585034013,15.23076923076923,0.6602564102564101,9.389711894858953,9,0,2,1,0.46,0,0,12,403,321,0.8,7,8,1,0.7619047619047619,0.6517412935323383,1.9126465697959028,0.0937644929765632,0.09970054302845396,0.13558339937620292,0.07142857142857142,0.07737271354289696,-0.23963318207693463,8.564942795299936,16.153846153846153,0.5064102564102563,9.932969305189657,1
9,0,2,1,0.46,0,0,12,403,321,0.8,7,8,1,0.7619047619047619,0.6517412935323383,1.9126465697959028,0.0937644929765632,0.09970054302845396,0.13558339937620292,0.07142857142857142,0.07737271354289696,-0.23963318207693463,8.564942795299936,16.153846153846153,0.5064102564102563,9.932969305189657,20,1,7,2,0.54,2,0,8,483,403,0.83,7,9,2,0.7474747474747475,0.7254901960784313,1.819961130674162,0.09375498975655773,0.10347357842818103,0.1358997578479944,0.07142857142857141,0.0785024592378533,-0.014682953851910228,7.831462585034013,15.23076923076923,0.6602564102564101,9.389711894858953,0
17,1,4,2,0.57,1,0,10,378,280,0.74,4,7,5,0.7422680412371134,0.6181556195965417,1.8038098792367738,0.09893144790524613,0.09834564511851039,0.12821243869797883,0.07142857142857142,0.06868913293555509,-0.2672682523323557,7.695987940630799,14.923076923076923,0.5705128205128203,9.621588784601975,14,0,7,2,0.43,2,0,10,285,198,0.69,5,6,15,0.6746987951807228,0.5869565217391305,1.8403407956415927,0.0924195069559312,0.10112952807768927,0.12635235206699139,0.0769230769230769,0.08345469979958477,-0.31673625461241695,7.360256410256411,13.833333333333332,0.5909090909090909,8.861163895556142,1
14,0,7,2,0.43,2,0,10,285,198,0.69,5,6,15,0.6746987951807228,0.5869565217391305,1.8403407956415927,0.0924195069559312,0.10112952807768927,0.12635235206699139,0.0769230769230769,0.08345469979958477,-0.31673625461241695,7.360256410256411,13.833333333333332,0.5909090909090909,8.861163895556142,17,1,4,2,0.57,1,0,10,378,280,0.74,4,7,5,0.7422680412371134,0.6181556195965417,1.8038098792367738,0.09893144790524613,0.09834564511851039,0.12821243869797883,0.07142857142857142,0.06868913293555509,-0.2672682523323557,7.695987940630799,14.923076923076923,0.5705128205128203,9.621588784601975,1
13,1,10,1,0.5,2,0,20,292,189,0.65,5,7,12,0.7526881720430108,0.725,1.8065071652616693,0.0955686515003947,0.09933529017571749,0.15079400069726118,0.07692307692307691,0.0848667890638128,-0.07718796316147589,7.4247308247308235,15.5,0.537878787878788,9.346707678286625,9,0,9,3,0.5,4,0,13,300,184,0.61,4,8,2,0.6382978723404256,0.6093247588424437,1.6548093507383848,0.09061600704608079,0.09966646013755154,0.14291909287311555,0.07142857142857142,0.06699078854344015,-0.060950770748865325,7.0827484023912595,14.461538461538463,0.5897435897435896,9.505848492229568,1
9,0,9,3,0.5,4,0,13,300,184,0.61,4,8,2,0.6382978723404256,0.6093247588424437,1.6548093507383848,0.09061600704608079,0.09966646013755154,0.14291909287311555,0.07142857142857142,0.06699078854344015,-0.060950770748865325,7.0827484023912595,14.461538461538463,0.5897435897435896,9.505848492229568,13,1,10,1,0.5,2,0,20,292,189,0.65,5,7,12,0.7526881720430108,0.725,1.8065071652616693,0.0955686515003947,0.09933529017571749,0.15079400069726118,0.07692307692307691,0.0848667890638128,-0.07718796316147589,7.4247308247308235,15.5,0.537878787878788,9.346707678286625,0
7,1,1,1,0.47,6,1,22,280,188,0.67,7,6,4,0.6829268292682927,0.5413385826771654,1.6170531525095537,0.08743314701756699,0.09560677659822493,0.1654219798389682,0.07142857142857142,0.05981755130491073,-0.2547964724565301,6.249788703360132,12.615384615384617,0.8076923076923076,8.531837619590826,14,0,4,1,0.53,3,0,15,368,260,0.71,6,8,1,0.673469387755102,0.6120218579234973,1.7835485037959673,0.09547523853437444,0.09190703280312819,0.12237801012773826,0.07142857142857142,0.07725457501716324,-0.31544912143778603,7.8626108018965155,15.076923076923078,0.5705128205128205,9.642908387958194,1
